web-scraper-order,web-scraper-start-url,cards,cards-href,nom,prix,adresse,image_lien
"1752700864-1","https://sn.coinafrique.com/categorie/chiens?page=10","Pitt Bull red nose femelle","https://sn.coinafrique.com/annonce/chiens/pitt-bull-red-nose-femelle-742530","Pitt Bull red nose femelle","Prix sur demande","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_742530_uploaded_image1_1563025513.69.png)"
"1752700867-2","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Pitbull","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-742716","Chiots Pitbull","250 000 CFA","Grand Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_742716_uploaded_image2_1563030467.78.png)"
"1752700870-3","https://sn.coinafrique.com/categorie/chiens?page=10","Caniche bichon","https://sn.coinafrique.com/annonce/chiens/caniche-bichon-751558","Caniche bichon","200 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_751558_uploaded_image1_1563309112.52.png)"
"1752700873-4","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Boerboel","https://sn.coinafrique.com/annonce/chiens/chiot-boerboel-751964","Chiot Boerboel","450 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_751964_uploaded_image1_1563320930.56.png)"
"1752700876-5","https://sn.coinafrique.com/categorie/chiens?page=10","Pitbull Red Nose","https://sn.coinafrique.com/annonce/chiens/pitbull-red-nose-778978","Pitbull Red Nose","220 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_778978_uploaded_image1_1564025139.31.png)"
"1752700879-6","https://sn.coinafrique.com/categorie/chiens?page=10","Caniche bichons maltais","https://sn.coinafrique.com/annonce/chiens/caniche-bichons-maltais-788455","Caniche bichons maltais","190 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_788455_uploaded_image1_1564267086.61.png)"
"1752700882-7","https://sn.coinafrique.com/categorie/chiens?page=10","Chien berger allemand à poil long","https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-a-poil-long-848994","Chien berger allemand à poil long","200 000 CFA","Hann Bel-Air, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_848994_uploaded_image1_1566053635.51.png)"
"1752700884-8","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Cane Corso","https://sn.coinafrique.com/annonce/chiens/chiots-cane-corso-891450","Chiots Cane Corso","Prix sur demande","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_891450_uploaded_image1_1567127976.09.png)"
"1752700887-9","https://sn.coinafrique.com/categorie/chiens?page=10","Pitbull black nose","https://sn.coinafrique.com/annonce/chiens/pitbull-black-nose-900600","Pitbull black nose","250 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_900600_uploaded_image1_1567424429.78.png)"
"1752700890-10","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Cane Corso","https://sn.coinafrique.com/annonce/chiens/chiot-cane-corso-956906","Chiot Cane Corso","800 000 CFA","Fann, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_956906_uploaded_image1_1568758075.68.png)"
"1752700892-11","https://sn.coinafrique.com/categorie/chiens?page=10","Boerboel femelle","https://sn.coinafrique.com/annonce/chiens/boerboel-femelle-989796","Boerboel femelle","400 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_989796_uploaded_image1_1569465977.94.png)"
"1752700895-12","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots","https://sn.coinafrique.com/annonce/chiens/chiots-1000525","Chiots","350 000 CFA","Les Parcelles Assainies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1000525_uploaded_image1_1569688531.08.png)"
"1752700897-13","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot akita américain","https://sn.coinafrique.com/annonce/chiens/chiot-akita-americain-1106542","Chiot akita américain","Prix sur demande","Fann, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1106542_uploaded_image1_1571934153.2.png)"
"1752700900-14","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot berger allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-1115802","Chiot berger allemand","200 000 CFA","Patte d'oie, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1115802_uploaded_image1_1572126146.27.png)"
"1752700903-15","https://sn.coinafrique.com/categorie/chiens?page=10","Chien Rottweiler","https://sn.coinafrique.com/annonce/chiens/chien-rottweiler-1122493","Chien Rottweiler","375 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1122493_uploaded_image1_1572275963.13.png)"
"1752700906-16","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-1123229","Chiots Berger Allemand","350 000 CFA","Parcelle Assainies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1123229_uploaded_image1_1572285379.45.png)"
