web-scraper-order,web-scraper-start-url,cards,cards-href,nom,prix,adresse,image_lien
"1752704449-1","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons de race","https://sn.coinafrique.com/annonce/moutons/moutons-de-race-721746","Moutons de race","150 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_721746_uploaded_image1_1562546733.94.png)"
"1752704451-2","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","https://sn.coinafrique.com/annonce/moutons/moutons-722669","Moutons","150 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_722669_uploaded_image1_1562546978.82.png)"
"1752704454-3","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Ladoum","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-723681","Mouton Ladoum","300 000 CFA","Guediawaye, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_723681_uploaded_image1_1562583405.41.png)"
"1752704456-4","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","https://sn.coinafrique.com/annonce/moutons/moutons-724916","Moutons","Prix sur demande","Koussanar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_724916_uploaded_image1_1562601308.96.png)"
"1752704459-5","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Tabaski","https://sn.coinafrique.com/annonce/moutons/mouton-tabaski-725090","Mouton Tabaski","250 000 CFA","HLM, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_725090_uploaded_image1_1562603963.91.png)"
"1752704462-6","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","https://sn.coinafrique.com/annonce/moutons/moutons-730962","Moutons","190 000 CFA","Fann, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_730962_uploaded_image1_1562758817.51.png)"
"1752704465-7","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","https://sn.coinafrique.com/annonce/moutons/moutons-742328","Moutons","250 000 CFA","Sénégal","background-image:url(https://images.coinafrique.com/thumb_742328_uploaded_image1_1563020125.88.png)"
"1752704467-8","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-743065","Mouton","150 000 CFA","Guediawaye, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_743065_uploaded_image1_1563041220.15.png)"
"1752704470-9","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-743066","Mouton","150 000 CFA","Guediawaye, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_743066_uploaded_image1_1563041262.7.png)"
"1752704472-10","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-743067","Mouton","160 000 CFA","Guediawaye, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_743067_uploaded_image1_1563041352.31.png)"
"1752704475-11","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","https://sn.coinafrique.com/annonce/moutons/moutons-743068","Moutons","160 000 CFA","Guediawaye, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_743068_uploaded_image1_1563041352.73.png)"
"1752704477-12","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-743069","Mouton","260 000 CFA","Guediawaye, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_743069_uploaded_image1_1563041443.85.png)"
