web-scraper-order,web-scraper-start-url,cards,cards-href,nom,prix,adresse,image_lien
"1752744413-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapins et lapereaux Angora Californien","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-et-lapereaux-angora-californien-729692","Lapins et lapereaux Angora Californien","Prix sur demande","Medina, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_729692_uploaded_image1_1562719154.82.png)"
"1752744416-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poulet de chair","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-729710","Poulet de chair","3 000 CFA","Grand Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_729710_uploaded_image1_1562719384.82.png)"
"1752744418-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapins et lapereaux angora Californien","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-et-lapereaux-angora-californien-729715","Lapins et lapereaux angora Californien","Prix sur demande","Médina, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_729715_uploaded_image1_1562719494.94.png)"
"1752744420-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapin géant","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-761183","Lapin géant","70 000 CFA","Mbour, Sénégal","background-image:url(https://images.coinafrique.com/thumb_761183_uploaded_image1_1563536095.25.png)"
"1752744423-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapins","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-774940","Lapins","40 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_774940_uploaded_image1_1563940703.34.png)"
"1752744425-6","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poulet de chair","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-798654","Poulet de chair","2 000 CFA","Guediawaye, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_798654_uploaded_image2_1564576617.9.png)"
"1752744428-7","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Coqs Brahmane","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coqs-brahmane-841858","Coqs Brahmane","5 000 CFA","Thies Ouest, Thiès, Sénégal","background-image:url(https://images.coinafrique.com/thumb_841858_uploaded_image1_1565838064.66.png)"
"1752744430-8","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapin Buchka","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-buchka-848961","Lapin Buchka","7 000 CFA","Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_848961_uploaded_image1_1566052780.75.png)"
"1752744433-9","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Coq et poussins bleus","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-et-poussins-bleus-855420","Coq et poussins bleus","15 000 CFA","Sénégal","background-image:url(https://images.coinafrique.com/thumb_855420_uploaded_image1_1566249496.28.png)"
"1752744435-10","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Race bleu d' hollande","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/race-bleu-d-hollande-858710","Race bleu d' hollande","800 CFA","Sénégal","background-image:url(https://images.coinafrique.com/thumb_858710_uploaded_image1_1566319546.08.png)"
"1752744437-11","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Femelle GDF 4 mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-gdf-4-mois-862099","Femelle GDF 4 mois","70 000 CFA","Médina, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_862099_uploaded_image1_1566396428.28.png)"
"1752744440-12","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapin nain noir adulte","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-nain-noir-adulte-878312","Lapin nain noir adulte","10 000 CFA","Médina, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_878312_uploaded_image1_1566833445.3.png)"
"1752744442-13","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poulet de chair","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-885789","Poulet de chair","2 500 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_885789_uploaded_image1_1566997710.07.png)"
"1752744445-14","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Coqs et poussins","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coqs-et-poussins-886578","Coqs et poussins","800 CFA","Sénégal","background-image:url(https://images.coinafrique.com/thumb_886578_uploaded_image1_1567011857.49.png)"
"1752744447-15","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poulet de chair","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-886584","Poulet de chair","2 500 CFA","Sénégal","background-image:url(https://images.coinafrique.com/thumb_886584_uploaded_image1_1567011994.0.png)"
"1752744450-16","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Coq","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-899472","Coq","30 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_899472_uploaded_image1_1567385639.81.png)"
"1752744452-17","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poussins bantam","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-bantam-899477","Poussins bantam","15 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_899477_uploaded_image1_1567385912.28.png)"
"1752744455-18","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Barahmane","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/barahmane-899487","Barahmane","15 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_899487_uploaded_image1_1567386142.96.png)"
"1752744457-19","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Femelle Cochin bleu","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-cochin-bleu-899496","Femelle Cochin bleu","30 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_899496_uploaded_image1_1567386467.81.png)"
"1752744460-20","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poulet de chair","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-908730","Poulet de chair","Prix sur demande","Pikine, Sénégal","background-image:url(https://images.coinafrique.com/thumb_908730_uploaded_image1_1567603082.63.png)"
"1752744462-21","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poussins Bantam","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-bantam-912493","Poussins Bantam","8 000 CFA","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_912493_uploaded_image1_1567685916.85.png)"
"1752744465-22","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Bouldolande","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/bouldolande-944280","Bouldolande","7 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_944280_uploaded_image1_1568469542.41.png)"
"1752744467-23","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poulet - Pigeon  - Lapin","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-pigeon-lapin-944363","Poulet - Pigeon  - Lapin","Prix sur demande","Sénégal","background-image:url(https://images.coinafrique.com/thumb_944363_uploaded_image1_1568471599.26.png)"
"1752744470-24","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Paons Pigeons","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paons-pigeons-968953","Paons Pigeons","30 000 CFA","Guediawaye, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_968953_uploaded_image1_1569008082.81.png)"
"1752744472-25","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poules","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poules-977534","Poules","7 000 CFA","Sénégal","background-image:url(https://images.coinafrique.com/thumb_977534_uploaded_image1_1569239272.43.png)"
"1752744475-26","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapins angora californien","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-angora-californien-993655","Lapins angora californien","11 000 CFA","Médina, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_993655_uploaded_image1_1569535990.77.png)"
"1752744478-27","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Brahmane poules","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/brahmane-poules-1006369","Brahmane poules","35 000 CFA","Hann Bel-Air, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1006369_uploaded_image1_1569853974.38.png)"
"1752744480-28","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Bleus d'hollande","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/bleus-dhollande-1006380","Bleus d'hollande","15 000 CFA","Hann Bel-Air, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1006380_uploaded_image1_1569854064.06.png)"
"1752744482-29","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Pigeon voyageur","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1006407","Pigeon voyageur","20 000 CFA","Grand Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1006407_uploaded_image1_1569854536.38.png)"
"1752744485-30","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Pigeon voyageur","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1006413","Pigeon voyageur","25 000 CFA","Grand Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1006413_uploaded_image1_1569854645.39.png)"
"1752744487-31","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Pigeon voyageur","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1006424","Pigeon voyageur","20 000 CFA","Grand Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1006424_uploaded_image1_1569854764.54.png)"
"1752744490-32","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapin angora californien","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-angora-californien-1014679","Lapin angora californien","15 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1014679_uploaded_image1_1570023780.43.png)"
"1752744492-33","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapin géant","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-1023073","Lapin géant","45 000 CFA","Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1023073_uploaded_image1_1570188340.15.png)"
"1752744495-34","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Perroquet","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/perroquet-1040990","Perroquet","75 000 CFA","Hann Bel-Air, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1040990_uploaded_image1_1570583700.42.png)"
"1752744498-35","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapin géant des Flandres","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-des-flandres-1072763","Lapin géant des Flandres","35 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1072763_uploaded_image1_1571252694.33.png)"
"1752744501-36","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Pigeon links","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-links-1091921","Pigeon links","Prix sur demande","Diourbel, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1091921_uploaded_image1_1571681099.26.png)"
